Leptinotarsa decemlineata	lepdec	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/500/325/GCF_000500325.1_Ldec_2.0/GCF_000500325.1_Ldec_2.0_genomic.gff.gz	100	/app/data/BCM_i5k_pilot/lepdec/Ldec_2.0/scaffold/analyses/Leptinotarsa_decemlineata_Annotation_Release_100/GCF_000500325.1_Ldec_2.0_genomic.gff	/app/data/BCM_i5k_pilot/lepdec/Ldec_2.0/jbrowse/data
Anoplophora glabripennis	anogla	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/285/GCF_000390285.2_Agla_2.0/GCF_000390285.2_Agla_2.0_genomic.gff.gz	101	/app/data/BCM_i5k_pilot/anogla/Agla_2.0/scaffold/analyses/Anoplophora_glabripennis_Annotation_Release_101/GCF_000390285.2_Agla_2.0_genomic.gff	/app/data/BCM_i5k_pilot/anogla/Agla_2.0/jbrowse/data
